ID,Case Number,Date,Latitude,Longitude
4878292,HM466674,01-01-2004 00:01,,
4758758,HM370008,04-01-2003 16:00,41.71529807,-87.5328594
4880098,HM489712,07/21/2002 11:00:00 PM,,
4760468,HM371898,01-01-2003 00:01,41.91824807,-87.71252791
4881340,HM495650,03-01-2004 00:00,,
4881404,HM495669,06-01-2004 00:00,,
4883066,HM494099,03/15/2004 10:00:00 AM,,
4881958,HM496701,01-01-2002 00:01,,
4762257,HM370211,07-01-2003 01:00,41.77692549,-87.71637109
4882940,HM497605,06-04-2004 12:00,,
4883319,HM497761,07-01-2004 00:01,,
4886733,HM501269,10-01-2001 00:01,41.77487569,-87.63671943
4887180,HK190552,02/18/2004 06:28:00 PM,,
4887254,HK597418,09-02-2004 09:32,,
4887288,HK747960,11/13/2004 03:56:28 AM,,
4767190,HM367881,03/15/2003 09:00:00 AM,41.75949624,-87.6183362
4767978,HM381786,12/29/2003 12:00:00 PM,41.85345005,-87.72829969
4769215,HM382257,02-11-2003 08:00,41.82760048,-87.64886518
4769404,HM382132,01-01-2003 00:01,41.89492883,-87.75590355
4891069,HM501504,09-01-2004 00:00,,
4891097,HM505731,01-01-2002 00:01,,
4770440,HM384118,01-01-2003 00:01,41.82241934,-87.70205917
4891742,HM497604,01-01-2004 00:01,,
4892881,HM488474,01-01-2001 00:01,41.69489273,-87.63536429
4893102,HM299492,10-01-2001 08:00,41.74416949,-87.61003434
4893786,HM508773,11-09-2001 09:00,41.89756471,-87.67602673
4893865,HM509014,05/30/2001 03:00:00 PM,41.69074575,-87.7067459
4895423,HM510628,05/31/2004 12:00:00 AM,,
4895638,HM506652,06-01-2001 12:00,41.88924352,-87.75062211
4897323,HM512965,12-01-2002 00:01,,
4898347,HM514440,08/20/2004 01:00:00 PM,,
4898698,HM514592,01-01-2001 00:01,41.90849467,-87.72268842
4899867,HM515943,02/18/2004 12:00:00 PM,,
4779310,HM386747,01-10-2003 11:00,41.6529246,-87.54591589
4901135,HM516767,04-01-2002 09:00,,
4902503,HM516928,09-09-2004 09:00,,
4902691,HM516881,10/22/2004 12:00:00 AM,,
4903025,HM518800,01/15/2004 08:00:00 AM,,
4783528,HM396801,06-01-2003 00:00,41.84739128,-87.70389474
4903753,HM519116,06-01-2004 12:00,,
4785031,HM398785,03-01-2003 00:00,41.90203267,-87.69259546
4786441,HM399889,01-01-2003 00:00,41.78410081,-87.60208385
4911490,HM527616,08-01-2004 00:00,,
4911781,HM527915,08-01-2001 12:00,41.86032746,-87.73096606
4911803,HM527941,09-01-2004 09:00,,
4911911,HM342534,01-01-2002 00:01,,
4793221,HM401963,12/29/2003 12:00:00 PM,41.93312939,-87.6792964
4913770,HM529428,12/18/2004 06:00:00 PM,,
4799105,HM411040,08-09-2003 10:20,41.78514368,-87.61207465
4917995,HM528337,09-10-2004 12:00,,
4918447,HK261180,03/25/2004 10:57:23 AM,,
4918462,HK269216,03/29/2004 11:29:00 AM,,
4918503,HM529810,01-01-2004 09:00,,
4918539,HK259104,03/24/2004 11:35:33 AM,,
4919336,HM533632,09/30/2004 09:00:00 AM,,
4919570,HM531605,08/21/2004 09:00:00 AM,,
4919862,HM520437,07-05-2004 00:00,,
4802045,HM415564,10/28/2003 04:00:00 PM,41.75482364,-87.55109257
4803310,HM413400,06-09-2003 12:00,41.86920189,-87.67058988
4805185,HM412100,06-12-2003 17:00,41.79953618,-87.74416656
4925834,HM541642,09/15/2002 09:00:00 AM,,
4927040,HM538120,06-01-2002 00:01,,
4925858,HK344550,05-05-2004 15:01,,
4807096,HM420271,09-01-2003 16:00,41.84894298,-87.71370128
4927931,HK591078,08/30/2004 01:04:00 PM,,
4926292,HM539405,11/20/2004 09:00:00 AM,,
4807443,HM395336,12-01-2003 00:01,41.82821615,-87.61927084
4927932,HK764272,11/21/2004 02:36:05 AM,,
4928049,HK676982,10-09-2004 17:35,,
4928434,HK820830,12/21/2004 12:19:20 PM,,
4927379,HM543267,08-01-2004 09:00,,
4927663,HK834874,12/29/2004 09:07:12 PM,,
4927678,HK165415,02-05-2004 00:59,,
4927723,HK147918,01/26/2004 10:29:57 PM,,
4927740,HK195444,02/21/2004 02:37:38 AM,,
4927752,HK206907,02/27/2004 12:18:24 AM,,
4927761,HK213618,03-01-2004 14:15,,
4927779,HK298594,04/13/2004 12:05:36 AM,,
4927790,HK306243,04/16/2004 09:34:44 PM,,
4927800,HK337634,05-02-2004 00:06,,
4927807,HK348938,05-07-2004 15:57,,
4927827,HK363798,05/14/2004 02:15:00 PM,,
4927834,HK405262,06-03-2004 01:12,,
4927843,HK419900,06-09-2004 19:08,,
4927855,HK449279,06/23/2004 02:07:45 AM,,
4927870,HK453445,06/25/2004 12:37:00 AM,,
4927875,HK472582,07-04-2004 00:21,,
4927885,HK489119,07-11-2004 19:36,,
4927895,HK509724,07/20/2004 11:42:11 PM,,
4927915,HK704568,10/23/2004 09:52:00 AM,,
